2026-08-15T23:48:22 epoch parent=cand-baseline-sonnet idea=idea-do-sonnet lineage_cost=0.0348833
2026-08-16T14:07:40 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:41 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:42 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:43 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:43 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:44 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:45 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:45 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:46 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:47 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:48 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:49 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:49 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:50 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:50 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:51 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:52 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:53 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:53 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:54 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:54 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:55 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:56 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:56 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:57 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:58 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:59 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:07:59 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:00 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:01 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:02 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:03 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:03 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:04 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:05 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:06 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:06 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:07 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:07 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:08 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:09 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:10 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:11 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:11 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:12 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:13 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:13 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:14 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:15 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:16 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:17 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:17 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:18 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:19 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:20 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:21 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:21 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:22 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:23 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:23 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:24 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:25 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:26 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:27 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:27 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:28 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:29 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:30 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:31 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:31 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:32 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:33 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:34 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:34 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:35 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:36 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:37 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:38 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:38 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:39 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:40 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:40 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:41 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:41 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:42 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:43 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:44 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:45 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:45 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:46 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:47 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:48 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:49 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:49 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:50 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:51 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:51 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:52 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:53 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:54 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:55 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:55 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:56 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:57 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:58 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:58 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:08:59 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:00 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:01 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:01 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:02 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:03 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:03 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:04 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:05 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:06 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:07 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:07 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:08 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:09 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:10 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:10 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:11 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:12 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:13 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:13 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:14 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:15 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:16 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:17 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:17 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:18 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:19 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:20 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:21 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:21 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:22 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:23 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:24 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:24 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:25 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:26 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:27 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:27 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:28 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:29 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:30 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:31 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:31 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:32 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:33 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:34 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:34 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:35 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:36 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:37 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:38 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:39 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:39 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:40 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:41 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:42 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:42 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:43 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:44 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:44 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:45 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:46 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:47 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:47 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:48 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:49 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:50 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:50 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:51 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:52 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:52 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:53 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:54 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:54 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:55 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:56 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:57 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:57 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:58 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:58 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:09:59 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T14:10:00 epoch parent=optimizer-seed seed=none fanout=3
2026-08-16T17:03:50 epoch parent=cand-1786874124727756553 seed=none fanout=2
